genres,rated,title,countries,year,type,languages,imdb_rating,rt_rating,decade
Romance,PASSED,Morocco,USA,1930,movie,English,7.3,3.6,1930
Action,PASSED,For Heaven's Sake,USA,1926,movie,English,7.6,3.6,1930
Comedy,UNRATED,The Circus,USA,1928,movie,Inconnu,8.1,4.2,1930
Comedy,NOT RATED,Show People,USA,1928,movie,Inconnu,8.3,3.7,1930
Adventure,PASSED,The Big Trail,USA,1930,movie,English,7.3,3.5,1930
Comedy,NA,Upstream,USA,1927,movie,English,6.2,3.5,1930
Romance,PASSED,In Old Arizona,USA,1928,movie,English,5.8,3.1,1930
Comedy,NOT RATED,The Cameraman,USA,1928,movie,English,8.3,4.3,1930
Drama,NOT RATED,Metropolis,Germany,1927,movie,German,8.3,4.1,1930
Comedy,NOT RATED,Under the Roofs of Paris,France,1930,movie,French,7.4,3.7,1930
Drama,TV-PG,Westfront 1918,Germany,1930,movie,German,7.5,4,1930
Drama,NOT RATED,Sunrise,USA,1927,movie,Inconnu,8.4,4.4,1930
Action,PASSED,Men Without Women,USA,1930,movie,English,5.8,3.3,1930
Drama,UNRATED,The Unknown,USA,1927,movie,English,7.9,4.1,1930
Comedy,PASSED,Ella Cinders,USA,1926,movie,English,8.1,0,1930
Drama,PG-13,Wings,USA,1927,movie,English,7.8,3.8,1930
Crime,NOT RATED,Pandora's Box,Germany,1929,movie,German,8,4.1,1930
Drama,NOT RATED,The Last Command,USA,1928,movie,English,8,4,1930
Biography,NOT RATED,The Passion of Joan of Arc,France,1928,movie,French,8.4,4.4,1930
Drama,NA,Applause,USA,1929,movie,English,7.3,3.7,1930
Comedy,NOT RATED,College,USA,1927,movie,English,7.2,3.6,1930
Drama,NOT RATED,The Divine Lady,USA,1929,movie,English,6.3,3,1930
Inconnu,UNRATED,The Blood of a Poet,France,1932,movie,French,7.5,3.9,1930
Comedy,PASSED,City Lights,USA,1931,movie,English,8.6,4.4,1930
Drama,PASSED,Mèdchen in Uniform,Germany,1931,movie,German,7.8,4,1930
Crime,NOT RATED,I Am a Fugitive from a Chain Gang,USA,1932,movie,English,8.1,4.1,1930
Drama,APPROVED,Smilin' Through,USA,1932,movie,English,7,3.7,1930
Drama,APPROVED,Baby Face,USA,1933,movie,English,7.7,3.6,1930
Drama,PASSED,Eskimo,USA,1933,movie,English,7.1,3.8,1930
